"ReferenceID","Authors","Year","Title","Details"
"Neu-Ref-40","Banks, N.","1908","A new genus and species of Neuroptera.","Entomological News, Philadelphia 19:203-204."
"Neu-Ref-41","Banks, N.","1908","Neuropteroid insects -- notes and descriptions.","Transactions of the American Entomological Society 34:255-267."
"Neu-Ref-42","Banks, N.","1908","On the classification of the Corydalinae, with description of a new species.","Proceedings of the Entomological Society of Washington 10:27-30."
"Neu-Ref-43","Banks, N.","1909","Hemerobiidae from Queensland, Australia. [Neuroptera, Hemerobiidae.]","Proceedings of the Entomological Society of Washington 11:76-81."
"Neu-Ref-44","Banks, N.","1909","New genera and species of tropical Myrmeleonidae.","Journal of the New York Entomological Society 17:1-4."
"Neu-Ref-45","Banks, N.","1910","Myrmeleonidae from Australia.","Annals of the Entomological Society of America 3:40-44."
"Neu-Ref-46","Banks, N.","1910","New South American neuropteroid insects.","Proceedings of the Entomological Society of Washington 12:146-160."
"Neu-Ref-48","Banks, N.","1910","Some Neuroptera from Australia.","Psyche 17:99-105."
"Neu-Ref-50","Banks, N.","1911","Descriptions of new species of North American neuropteroid insects.","Transactions of the American Entomological Society 37:335-360."
"Neu-Ref-51","Banks, N.","1911","Notes on Indian neuropteroid insects.","Proceedings of the Entomological Society of Washington 13:99-106."
"Neu-Ref-52","Banks, N.","1911","Notes on African Myrmeleonidae.","Annals of the Entomological Society of America 4:1-[31]."
"Neu-Ref-54","Banks, N.","1912","Notes on Nearctic Mantispidae.","Proceedings of the Entomological Society of Washington 14:178-179."
"Neu-Ref-56","Banks, N.","1913","New exotic neuropteroid insects.","Proceedings of the Entomological Society of Washington 15:137-143."
"Neu-Ref-57","Banks, N.","1913","Notes on African Myrmeleonidae.","Journal of the New York Entomological Society 21:149-157."
"Neu-Ref-58","Banks, N.","1913","On a collection of neuropteroid insects from the Philippine Islands.","Proceedings of the Entomological Society of Washington 15:170-180."
"Neu-Ref-59","Banks, N.","1913","Synopses and descriptions of exotic Neuroptera.","Transactions of the American Entomological Society 39:201-242."
"Neu-Ref-61","Banks, N.","1913","The neuropterous genus Palpares.","Annals of the Entomological Society of America 6:171-[195]."
"Neu-Ref-63","Banks, N.","1914","New American Chrysopidae.","Canadian Entomologist 46:24-27."
"Neu-Ref-64","Banks, N.","1915","A new species of Stenares. (Neuroptera, Myrmeleonidae.)","Proceedings of the Entomological Society of Washington 17:144-145."
"Neu-Ref-67","Banks, N.","1914-1915","New neuropteroid insects, native and exotic.","Proceedings of the Academy of Natural Sciences of Philadelphia 66:608-632."
"Neu-Ref-69","Banks, N.","1916","Neuropteroid insects of the Philippine Islands.","Philippine Journal of Science 11:195-217."
